dnb_global_duns,label_duns
006326904,035773956
001326495,187496344
068748409,074972340
001053610,807906446
002132124,002132124
523117497,005231985
878265586,049185696
985572607,833024198
633333331,018849948
650119498,919067108
404248536,015631132
057250243,057250243
197611742,197611742
080840012,963350926
041438185,041438185
739980787,297730488
826316742,127530959
093005464,093005464
536025000,125867200
049727332,133226654
861422434,137417965
315000554,003000049
013936466,152266193
117693100,117693100
080334404,080334404
001307586,061244212
004811423,004811423
038182928,025912651
801073206,027197548
798693040,078687955
874102084,916489953
058980459,058980459
796010411,796010411
081104504,081068159
071289326,071289326
600029649,017665256
681494395,436233369
068744457,793516063
053785812,053785812
937639060,937639060
361516370,189030067
836842112,836842112
001292192,124987988
056827454,056827454
985583216,079199838
081335351,041516377
006175806,119893001
051723016,051723016
650320906,862346285
001933324,780622726
042000273,137897604
864411223,148997690
650085269,677604490
041002973,065940579
